ClassDesc,SalesUnits_Fall,SalesUnits_Spring,SalesDiff,SalesDiffPer
111 BRALETTES,763,1945,1182,43.64844903988183
111 SWEATSHIRTS,895,267,628,54.044750430292595
111 TUBES,0,122,122,100.0
BOOT,9,29,20,52.63157894736842
BOOTS,1727,516,1211,53.99019170753455
BRALETTES,16,49,33,50.76923076923077
CARDIGANS,1203,397,806,50.375
COLDWEAR,3741,380,3361,81.5578743023538
CREW NECKS,754,136,618,69.43820224719101
DAY/CASUAL,3823,10490,6667,46.580032138615245
DENIM,69,1422,1353,90.74446680080483
EVENING OCCASION,696,130,566,68.52300242130751
FASHION ACCESSORIES,1275,367,908,55.29841656516443
FASHION SUITING,109,299,190,46.568627450980394
FLARE,336,815,479,41.615986099044314
FLAT FRONT,406,3230,2824,77.66776677667767
FLAT SANDALS,18,1768,1750,97.98432250839866
FUR,59,17,42,55.26315789473685
KNIT,219,1012,793,64.4191714053615
MOCK NECKS,805,217,588,57.534246575342465
MTL,360,26,334,86.52849740932642
NOVELTY NECKS,1641,425,1216,58.857696030977735
ONE PIECE,2,65,63,94.02985074626866
OTHER,401,5,396,97.53694581280789
PROMO,247,80,167,51.07033639143731
PULLOVERS,8776,3323,5453,45.06984048268452
SHORTS,8,45,37,69.81132075471697
SLEEVELESS SHIRTS,107,1935,1828,89.52007835455436
SS PATTERN SHIRTS,216,879,663,60.54794520547945
SS SHIRTS,5,395,390,97.5
SS SOLID SHIRTS,202,695,493,54.96098104793757
SS TEES,10248,25304,15056,42.349234923492354
SWEATER COATS,170,66,104,44.06779661016949
SWEATER DRESSES,1353,111,1242,84.8360655737705
TANKS,4741,12149,7408,43.86027235050325
TUNICS,3365,915,2450,57.242990654205606
V NECKS,818,131,687,72.39199157007377
W WATCHES,0,42,42,100.0
WEDGES,90,687,597,76.83397683397683
WOVEN,78,1718,1640,91.31403118040089
